method,difficulty_range,total,avg_length,pass@1,pass@2,pass@4,pass@8
DeepSeek-R1-Distill-Qwen-14B-plain-rl,5-6,50,25347.7,0.5675,0.6450,0.7100,0.8000
DeepSeek-R1-Distill-Qwen-14B-plain-rl,6-7,50,36163.3,0.4900,0.5650,0.6400,0.7000
DeepSeek-R1-Distill-Qwen-14B-plain-rl,7-8,50,37700.3,0.4150,0.5000,0.5600,0.6000
DeepSeek-R1-Distill-Qwen-14B-plain-rl,8-9,50,37761.6,0.3750,0.4550,0.5600,0.6600
DeepSeek-R1-Distill-Qwen-14B-plain-rl,9-10,50,37234.9,0.4475,0.5250,0.6100,0.6800
DeepSeek-R1-Distill-Qwen-14B-plain-rl,overall,450,26519.1,0.5961,0.6611,0.7222,0.7778
Qwen3-Feb262-400,1-2,50,2048.4,0.9000,0.9100,0.9200,0.9200
Qwen3-Feb262-400,2-3,50,6734.8,0.7950,0.8300,0.8400,0.8600
Qwen3-Feb262-400,3-4,50,10392.0,0.8200,0.8600,0.9000,0.9200
Qwen3-Feb262-400,4-5,50,17677.7,0.7025,0.7750,0.8200,0.8400
Qwen3-Feb262-400,5-6,50,21029.3,0.5975,0.6700,0.7200,0.7800
Qwen3-Feb262-400,6-7,50,26356.4,0.4675,0.5400,0.6200,0.7000
Qwen3-Feb262-400,7-8,50,26360.9,0.4900,0.5650,0.6000,0.6600
Qwen3-Feb262-400,8-9,50,28673.0,0.4475,0.5350,0.6100,0.6600
Qwen3-Feb262-400,9-10,50,29729.3,0.4800,0.5700,0.6500,0.7400
Qwen3-Feb262-400,overall,450,18778.0,0.6333,0.6950,0.7422,0.7867
Qwen3-Feb28-400,1-2,50,863.9,0.9375,0.9500,0.9500,0.9600
Qwen3-Feb28-400,2-3,50,2863.7,0.7750,0.8700,0.9200,0.9600
Qwen3-Feb28-400,3-4,50,3689.3,0.7250,0.8000,0.8700,0.9400
Qwen3-Feb28-400,4-5,50,5638.1,0.5900,0.7050,0.7600,0.8200
Qwen3-Feb28-400,5-6,50,9152.0,0.4900,0.5950,0.6500,0.7200
Qwen3-Feb28-400,6-7,50,10117.0,0.3925,0.5150,0.6000,0.6800
Qwen3-Feb28-400,7-8,50,8583.5,0.3550,0.4600,0.6000,0.6600
Qwen3-Feb28-400,8-9,50,10534.3,0.4225,0.5200,0.6300,0.7400
Qwen3-Feb28-400,9-10,50,9920.8,0.4000,0.4900,0.5500,0.6200
Qwen3-Feb28-400,overall,450,6818.1,0.5653,0.6561,0.7256,0.7889
DeepSeek-R1-Distill-Qwen-14B-mae,1-2,50,3795.2,0.9200,0.9350,0.9400,0.9400
DeepSeek-R1-Distill-Qwen-14B-mae,2-3,50,14932.0,0.7350,0.7750,0.8300,0.8600
DeepSeek-R1-Distill-Qwen-14B-mae,3-4,50,19583.3,0.7700,0.8200,0.8600,0.8800
DeepSeek-R1-Distill-Qwen-14B-mae,4-5,50,27716.5,0.6500,0.7000,0.7500,0.8000
DeepSeek-R1-Distill-Qwen-14B-mae,5-6,50,27352.8,0.5425,0.6200,0.6600,0.7200
DeepSeek-R1-Distill-Qwen-14B-mae,6-7,50,37137.9,0.4850,0.5900,0.6700,0.7200
DeepSeek-R1-Distill-Qwen-14B-mae,7-8,50,38106.4,0.4325,0.5300,0.6100,0.6800
DeepSeek-R1-Distill-Qwen-14B-mae,8-9,50,38142.9,0.4125,0.4850,0.5700,0.6800
DeepSeek-R1-Distill-Qwen-14B-mae,9-10,50,37476.4,0.4500,0.5300,0.6200,0.7000
DeepSeek-R1-Distill-Qwen-14B-mae,overall,450,27138.1,0.5997,0.6650,0.7233,0.7756
